Episode,qmix_mean,qmix_std
10,-410617.4,343527.06867471157
20,-36385.6,7834.264805327938
30,-35591.8,7296.59584737979
40,-27937.2,2797.5729052162337
50,-32670.2,6454.222785122931
60,-25025.4,418.17871777506804
70,-28088.4,940.4023819621045
80,-30127.8,5174.655250352433
90,-24933.4,1959.0290043794657
100,-25368.6,633.0929157714529
110,-24108.8,1958.9206619973154
120,-25006.6,840.2734316875668
130,-25738.2,1415.336482960854
140,-25360.0,1016.5661808264133
150,-24822.0,1750.1333663466908
160,-24782.6,1332.081919402857
170,-25619.2,1843.3043590248465
180,-25311.6,679.0359637014817
190,-25968.8,2330.4112426779957
200,-25269.4,2859.6385505864196
210,-26187.4,1639.0463812839464
220,-23521.8,2142.8505687518204
230,-24751.0,2388.011641512662
240,-26038.0,2809.7877499910915
250,-25410.6,1646.032393362901
260,-25911.0,1523.0539058089835
270,-25069.0,1648.6949990826079
280,-25133.6,1799.9469547739457
290,-25217.6,2304.419371555447
300,-22663.4,1041.5036437766312
310,-24813.8,2346.746462658461
320,-24213.2,1197.7090464716377
330,-25569.2,1279.3788180206832
340,-25503.2,1752.8465306466508
350,-26294.4,3147.2796253272445
360,-24979.0,701.5080897609093
370,-25910.2,2799.5509925700585
380,-25371.8,1692.517462243743
390,-25098.4,2219.901763592254
400,-25474.0,1537.7032223416845
410,-25958.0,1395.4470251500054
420,-26833.0,3306.113428181193
430,-25816.8,1052.3097262688395
440,-24427.0,1437.1129391944114
450,-24500.4,1241.6614031208346
460,-24060.4,1898.3860092194107
470,-23788.2,1531.7286182610808
480,-24093.6,1092.78407748283
490,-23324.6,794.4456180255512
500,-25955.8,3540.4157608958867
