Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Baseline_Reward_mean,Fixed_Baseline_Reward_std
5,-697317.3333333334,767737.923589525,-239531.0,243888.96572962595,-61414.0,22410.31299796294,-114762.0,1249.6007362353785
10,-249147.0,242560.739874916,-369744.0,278788.50709094875,-503450.3333333333,355736.3559241903,-114762.0,1249.6007362353785
15,-52618.666666666664,7056.248594134295,-89276.66666666667,14431.61008188468,-107026.0,57711.405406557205,-114762.0,1249.6007362353785
20,-61188.0,12521.301929112644,-107456.33333333333,45084.63006637874,-78331.33333333333,12090.953238774113,-114762.0,1249.6007362353785
25,-115647.66666666667,42201.548978944156,-114990.33333333333,62550.88454654782,-102831.66666666667,51770.94127232209,-114762.0,1249.6007362353785
30,-114355.33333333333,38574.481870215124,-104578.33333333333,29348.912998988944,-88517.0,19053.726424683093,-114762.0,1249.6007362353785
35,-122348.66666666667,50502.7638473601,-65140.0,6640.007580316958,-137920.66666666666,83078.66414562901,-114762.0,1249.6007362353785
40,-109088.0,28768.716898742634,-71427.0,6931.885602056629,-93716.0,19883.093840412934,-114762.0,1249.6007362353785
45,-100346.33333333333,32947.68597168683,-88461.66666666667,8139.8385050865045,-67033.0,13345.009853874219,-114762.0,1249.6007362353785
50,-74697.33333333333,12420.083368838104,-102554.0,10051.577289162135,-125191.33333333333,84623.25862445988,-114762.0,1249.6007362353785
55,-522374.0,602094.1520432387,-87525.33333333333,21599.835776124677,-97777.66666666667,28613.423997992424,-114762.0,1249.6007362353785
60,-667875.0,580906.3186871586,-104794.0,9636.080358043237,-144984.66666666666,72869.84841635272,-114762.0,1249.6007362353785
65,-195387.0,162115.25120316926,-168660.0,140191.30187235822,-79901.33333333333,9049.063315553101,-114762.0,1249.6007362353785
70,-127663.0,70601.38486366019,-141316.33333333334,54560.152580024514,-73465.0,18546.960415838133,-114762.0,1249.6007362353785
75,-286383.6666666667,261641.25481319308,-122585.66666666667,17200.04907615738,-59488.333333333336,19807.400238855735,-114762.0,1249.6007362353785
80,-161740.0,80711.77858693653,-92883.66666666667,43808.902415934695,-95155.0,21629.575693172224,-114762.0,1249.6007362353785
85,-68530.66666666667,10614.329318844826,-140697.33333333334,46643.94480411031,-105711.66666666667,59501.03975188632,-114762.0,1249.6007362353785
90,-102590.33333333333,43797.16792467547,-97727.66666666667,16456.924020673556,-119626.0,8638.378242857085,-114762.0,1249.6007362353785
95,-177087.33333333334,67161.2267027801,-155387.66666666666,18250.793760515975,-75701.66666666667,10203.387422267611,-114762.0,1249.6007362353785
100,-84689.33333333333,22302.84116928205,-98130.33333333333,39421.53262988247,-77936.66666666667,27056.715461333355,-114762.0,1249.6007362353785
