Episode,qmix_mean,qmix_std
10,-754641.6,552890.2692066844
20,-87818.0,66659.40075938277
30,-134738.8,72259.19750011066
40,-20404.6,8018.363463949486
50,-34775.8,20585.292705230113
60,-11527.2,7265.025874695836
70,-58951.0,95170.885340003
80,-6980.2,2628.5721903725603
90,-56329.4,95726.66976052179
100,-109753.8,201988.30271221153
110,-4815.0,1083.171085286161
120,-9404.2,7144.987848835014
130,-13316.2,16692.892684013757
140,-4611.6,855.1193133124757
150,-36058.6,42565.785859537464
160,-10129.8,10142.915525626742
170,-10907.6,11793.17162768354
180,-12016.6,7599.529895986988
190,-7012.0,4127.970300280756
200,-4487.2,525.9191572856042
210,-10486.8,8537.131026287461
220,-4632.6,1436.2758230924865
230,-62100.6,113445.56693956799
240,-4387.6,1512.879453228181
250,-28182.4,46424.79223259917
260,-6529.4,3755.0708968007516
270,-5757.2,3340.883859100762
280,-8353.0,8335.35498944106
290,-7645.8,7218.945751285294
300,-8596.4,8500.227540483842
310,-232648.2,457231.49693318375
320,-8827.4,5923.184163944255
330,-40618.4,59268.050916492946
340,-5142.4,1729.3907135173358
350,-7730.4,5350.897816254764
360,-9730.6,10635.369906119862
370,-5463.4,1409.0408936578099
380,-5050.0,2020.9197905904132
390,-5520.2,2074.2462148934974
400,-4825.8,1196.4752233122088
410,-13062.0,11016.895951219654
420,-4156.8,513.1091112034554
430,-356406.4,705555.4044236641
440,-137364.4,265484.19577714975
450,-45508.0,71938.7802899104
460,-11899.0,14561.02977127648
470,-35882.4,36383.45449569076
480,-4248.8,456.56692828105713
490,-8337.2,7046.592294151834
500,-11778.6,15623.50809005455
