Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Native_Reward_mean,Fixed_Native_Reward_std,Fixed_RoundRobin_Reward_mean,Fixed_RoundRobin_Reward_std
10,-163634.4,90375.2903720923,-363866.6,327010.5922178057,-139383.6,66571.7501665684,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
20,-225609.4,250758.08623739332,-215224.4,122008.09823056828,-156049.4,71735.00733282181,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
30,-101592.6,96681.05882250152,-247993.0,238224.73945835265,-122134.0,130231.72773637,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
40,-171630.6,59201.49706417905,-212136.6,158481.03994938952,-40256.0,5589.639237017001,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
50,-64393.6,31138.974521329375,-264227.8,212053.15543834757,-70262.2,61946.109160785876,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
60,-132858.8,144677.460267175,-230482.6,108818.07426452648,-25661.6,9376.060038203681,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
70,-81047.6,39870.732617297115,-164792.4,73008.17470009779,-20047.4,12326.649984484835,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
80,-82249.6,90814.74577093744,-105660.8,57877.87062911005,-47523.0,44775.37118997452,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
90,-77016.4,76273.73918354862,-176749.8,157991.1224992088,-33659.8,25780.277759558758,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
100,-62349.2,61718.080486677485,-180493.4,89812.17445224227,-18957.8,7778.51840391215,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
110,-46770.4,23178.495279892526,-126770.8,72103.06192222353,-14262.4,4756.500335330588,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
120,-64794.2,47556.86446939075,-304358.8,106019.01377658632,-70430.0,92563.04625497153,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
130,-121601.6,83978.30131313684,-259239.0,158617.796548811,-27372.2,16705.68803012914,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
140,-73370.8,63799.99863448274,-259371.8,85106.37306665113,-12320.0,1814.7515532435839,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
150,-122094.4,91102.76031076116,-196145.6,102287.4907163139,-14609.4,7225.375771542958,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
160,-76288.8,62420.7309261915,-272330.4,134715.17995029365,-10658.2,2886.102589999184,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
170,-26670.2,13989.422352620568,-126812.0,87852.05577332838,-10966.8,2073.8176776177793,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
180,-37766.8,20090.22165532277,-192180.4,89136.63331896713,-9743.8,3364.889858524347,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
190,-60739.6,59231.441618788915,-251929.2,289655.91798435606,-11370.6,9398.54266575409,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
200,-21751.6,5252.732492712721,-236127.4,106769.1733911994,-10173.0,3172.5326160655936,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
210,-32265.8,6216.746010574986,-205237.2,86710.85218218075,-28779.4,45314.25760883654,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
220,-64679.8,44354.01701943129,-294743.8,103610.68679899772,-5279.0,801.5649692944422,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
230,-94772.0,110555.15572419045,-255893.4,117400.92794113682,-8571.0,6437.797853303566,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
240,-28841.8,4397.049847340828,-172854.6,84342.50068524173,-6599.2,2268.87896548053,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
250,-55866.0,41856.51095349444,-353196.8,185593.9870355718,-6942.2,1433.0539975869717,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
260,-16303.2,6400.352971516493,-514939.0,377323.1473440239,-5321.6,678.5108989544678,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
270,-29305.2,23775.712678277385,-547955.8,475825.409931584,-4886.4,412.45780390241134,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
280,-39930.6,25884.481919482183,-466154.2,231231.48856278206,-5083.0,945.4135603004645,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
290,-116800.0,128306.52295343367,-301162.4,201076.03114603192,-5545.0,141.84357581505057,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
300,-41775.0,18716.726615516935,-213240.0,67381.58785009448,-5725.8,460.4790548982657,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
310,-35871.0,35722.953153399845,-186103.4,134635.1296142281,-4669.8,251.70013905439146,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
320,-141349.2,155363.0075731028,-115434.2,54459.98652735787,-5296.4,729.3291712251745,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
330,-25760.2,25371.655747309833,-80185.4,54434.17921343171,-4828.4,973.9266091446522,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
340,-16238.2,12196.167863718505,-271477.8,154517.02861548951,-4801.8,853.8031154780357,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
350,-51368.6,84099.06097834861,-441277.8,438752.8210140192,-5433.8,872.9713397357327,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
360,-27341.2,35147.37099357504,-113195.8,119867.18088184105,-6427.8,737.1041717423665,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
370,-20702.0,14964.443671583651,-182319.6,178546.60812863402,-5046.0,1042.8748726477208,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
380,-10677.0,2610.436591836699,-249537.6,128744.79553690706,-4741.8,159.46585841489707,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
390,-17814.4,16740.077414396867,-179940.0,95222.06572638509,-6082.8,594.0004713802842,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
400,-18021.8,15218.904906727028,-176155.8,202247.4301022389,-9168.8,7708.899542736303,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
410,-14961.4,11146.05181398328,-187667.6,144617.28315467693,-6940.0,3155.58115091341,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
420,-13367.8,10966.969433713219,-125030.2,139202.04646972686,-6318.8,2510.74932241353,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
430,-19021.8,18841.03788436295,-100768.6,77711.51351659547,-5356.8,810.8120374044776,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
440,-43136.0,70241.86236426252,-94473.4,76793.72518793445,-5785.2,2304.193602976972,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
450,-13594.2,13004.570356609249,-109436.8,90634.88093532203,-5455.6,536.1132716133784,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
460,-15609.2,14778.817779511322,-32288.2,35038.297346760446,-5311.0,718.107234332032,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
470,-10060.8,2162.105862348095,-326738.4,443618.35748426826,-5213.0,285.10910192415815,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
480,-8568.6,821.0051400569914,-36414.4,44507.86358656187,-5799.2,1053.0618975160007,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
490,-8818.2,1444.5834555331166,-57710.8,89353.99611298871,-5008.2,592.6177182636375,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
500,-10589.2,3692.815587055492,-29617.4,44541.091448683655,-5509.8,625.7307408142899,-44046.8,2073.1091047024033,-175498.4,1415.1389472415774
