Episode,qmix_mean,qmix_std
10,-1095138.4,1151717.868741056
20,-417093.2,334625.90402681025
30,-738456.0,820282.790794248
40,-867156.2,641482.6006517714
50,-816152.6,500517.4060080628
60,-696769.8,607785.4906324763
70,-627565.4,644688.321340041
80,-581813.0,590260.7170340916
90,-560589.2,560954.7465004285
100,-319999.2,463814.65306020685
110,-371641.6,560567.3847210876
120,-86389.4,1966.4946071627046
130,-87423.4,2781.4401018177614
140,-89309.8,2189.582005771878
150,-321059.4,463301.56369025994
160,-318756.8,464446.60677645175
170,-552433.2,566326.3861768759
180,-346843.0,452150.29528996215
190,-90320.2,5625.357958388071
200,-98706.8,17355.915607077604
210,-87189.0,2679.212645535998
220,-87206.2,2610.183855593318
230,-84018.4,1432.8372691970292
240,-89150.4,3824.8754018921977
250,-319041.6,464737.5921461917
260,-85730.0,4813.556024396102
270,-87305.6,2962.364096460798
280,-85500.6,4164.603635401573
290,-86799.8,2594.8501613773383
300,-88534.0,2915.4680584770604
310,-321419.6,463174.03434415447
320,-84113.6,4275.517493824577
330,-87368.4,1985.0790009468137
340,-86268.2,5263.245021847264
350,-89822.2,3207.849086225847
360,-86936.4,1493.1157490295252
370,-84536.4,3502.6483466086056
380,-85526.2,1514.6876113575365
390,-84039.0,6621.169322710302
400,-86390.4,5258.4609383354755
410,-84107.4,1743.3610756237504
420,-93090.6,16674.030593710686
430,-88872.8,5385.768855047532
440,-86927.4,4455.069498896734
450,-90435.0,6667.604907311171
460,-85606.2,3110.8899948407047
470,-86279.0,4441.2974680829475
480,-89720.2,4263.760190254607
490,-86119.4,3570.463981053443
500,-91369.0,4245.816152402268
