Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Baseline_Reward_mean,Fixed_Baseline_Reward_std
5,-1230063.6666666667,407586.8367070861,-1088171.0,280364.2667245596,-745042.6666666666,437479.9498082424,-255542.66666666666,1027.5593521652277
10,-287350.0,29474.881588679313,-1391359.6666666667,62393.76719049926,-578358.0,306055.9420639741,-255542.66666666666,1027.5593521652277
15,-603748.6666666666,592884.7981057441,-504184.6666666667,180108.22247625332,-988064.6666666666,582651.0415393496,-255542.66666666666,1027.5593521652277
20,-887692.0,503854.2336059772,-609735.3333333334,595135.8921155926,-494142.6666666667,257209.30945481392,-255542.66666666666,1027.5593521652277
25,-320878.6666666667,70122.13043603915,-342932.6666666667,183500.65630642546,-700034.3333333334,469736.70397101773,-255542.66666666666,1027.5593521652277
30,-310135.3333333333,109413.04525004725,-660129.6666666666,540743.6621803553,-236032.33333333334,74455.12813022948,-255542.66666666666,1027.5593521652277
35,-343303.6666666667,202324.7528444198,-424565.0,339250.7672710557,-698435.6666666666,465274.2828657331,-255542.66666666666,1027.5593521652277
40,-560902.3333333334,485672.2256565864,-310919.0,172794.7078896419,-524314.6666666666,376714.75171570096,-255542.66666666666,1027.5593521652277
45,-228190.66666666666,90592.22359685306,-349540.3333333333,164224.9948522521,-734812.3333333334,669064.7451681256,-255542.66666666666,1027.5593521652277
50,-768407.3333333334,538812.0902011098,-893365.0,449877.7043575287,-494444.0,425964.3852279984,-255542.66666666666,1027.5593521652277
55,-205928.33333333334,16660.730702930035,-205640.33333333334,39456.461036889195,-432819.0,182362.92100643704,-255542.66666666666,1027.5593521652277
60,-202578.66666666666,3540.9637420089775,-249928.0,61934.26594382144,-516997.6666666667,469185.52941974765,-255542.66666666666,1027.5593521652277
65,-419834.6666666667,226872.19288597026,-218880.0,62679.38037877103,-785403.3333333334,483373.49972344254,-255542.66666666666,1027.5593521652277
70,-598647.3333333334,281491.0362591005,-222559.0,43495.48947496357,-600601.3333333334,393080.3339542129,-255542.66666666666,1027.5593521652277
75,-247835.33333333334,58138.98090113226,-209443.66666666666,34652.01200828348,-737620.6666666666,516290.51873425767,-255542.66666666666,1027.5593521652277
80,-391819.6666666667,273261.3961092118,-437135.3333333333,337625.0952771267,-319129.6666666667,79117.80897848192,-255542.66666666666,1027.5593521652277
85,-542635.6666666666,212619.84109412011,-779016.3333333334,467916.4646938122,-189732.66666666666,22306.09270032642,-255542.66666666666,1027.5593521652277
90,-351888.0,242926.24528582057,-517051.6666666667,435029.4961144078,-284798.0,125382.49782432421,-255542.66666666666,1027.5593521652277
95,-527273.3333333334,346696.39055936085,-333104.6666666667,111257.6605432433,-1066083.3333333333,486061.646840764,-255542.66666666666,1027.5593521652277
100,-546156.6666666666,467079.6287296441,-652900.6666666666,671711.5788969416,-173900.33333333334,19834.600497335177,-255542.66666666666,1027.5593521652277
