Episode,qmix_mean,qmix_std
10,-449508.8,293576.5475240827
20,-811952.0,587294.5405532048
30,-964941.4,775508.3711296996
40,-943151.0,734516.2279141286
50,-424411.4,539367.704644466
60,-955054.0,987911.7397547212
70,-644870.8,771003.1177445134
80,-428178.6,344704.04834327084
90,-339693.2,273497.14950938703
100,-190092.0,228777.0725094628
110,-78239.8,11074.098543899636
120,-85620.2,45077.69890045409
130,-102397.6,72998.41554609251
140,-50665.2,3584.6284270479136
150,-51245.8,7096.5793280988555
160,-52828.8,5995.053774571168
170,-45433.4,4219.822204785411
180,-44879.6,6851.565707194232
190,-47369.2,5538.891419769844
200,-48035.2,13987.766732398706
210,-39831.6,4904.521367065291
220,-45875.4,5714.326437997745
230,-39970.6,5536.6250225204885
240,-43343.2,5249.051929634531
250,-51098.2,9572.32121065732
260,-46243.4,2189.5613807335935
270,-47228.4,3839.4370733220776
280,-48503.6,10386.349880492184
290,-49084.4,6752.171786914192
300,-50152.4,11232.874673920296
310,-71484.4,41971.340338855036
320,-47378.0,5101.091373421966
330,-47691.0,6242.8745622509505
340,-48799.4,3636.2007975358015
350,-46201.2,4999.064168421925
360,-47300.4,7288.759307316986
370,-47857.2,3999.365469671408
380,-46276.2,5206.540671117436
390,-46950.8,3941.6887446879923
400,-48992.6,6334.762840075388
410,-50869.6,3668.169058263264
420,-47067.2,6200.591404051714
430,-51246.4,6786.224269798339
440,-49119.8,7208.830845567123
450,-51254.8,9043.948726081988
460,-44546.4,6186.803588283695
470,-54600.2,14627.482646033117
480,-55622.4,16279.113914461068
490,-47363.4,4663.3314958299925
500,-49603.2,9397.636072970692
