Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Baseline_Reward_mean,Fixed_Baseline_Reward_std
5,-226021.66666666666,76270.89259271121,-665936.0,562217.5348036262,-592904.6666666666,657293.5032537258,-141632.66666666666,3872.4511904247706
10,-826486.3333333334,792785.2607956891,-805752.3333333334,933941.253732922,-91821.33333333333,17890.4903292845,-141632.66666666666,3872.4511904247706
15,-529493.0,386636.7155414326,-167078.0,68852.38629125356,-105877.0,9545.746801586558,-141632.66666666666,3872.4511904247706
20,-891501.3333333334,917571.7513707337,-478493.6666666667,523696.39219006355,-167839.33333333334,30460.267829128195,-141632.66666666666,3872.4511904247706
25,-577675.6666666666,554163.3224795336,-129631.0,17333.61476053586,-122607.33333333333,14174.923076412873,-141632.66666666666,3872.4511904247706
30,-181175.33333333334,68492.61262517456,-112438.0,21749.896428872176,-366273.3333333333,305198.23650138534,-141632.66666666666,3872.4511904247706
35,-158253.0,85391.11890979452,-95835.33333333333,32027.05879235383,-926281.6666666666,671429.505653092,-141632.66666666666,3872.4511904247706
40,-315120.0,66925.06203707746,-677901.3333333334,759244.9705228361,-150106.66666666666,39766.79751026253,-141632.66666666666,3872.4511904247706
45,-831371.0,820953.2055312288,-202067.33333333334,100605.05396295401,-173039.33333333334,26297.232558241223,-141632.66666666666,3872.4511904247706
50,-212606.66666666666,92828.61920885295,-135294.66666666666,30951.83960427698,-173575.0,61214.25063387337,-141632.66666666666,3872.4511904247706
55,-690959.3333333334,692403.5022876634,-203755.66666666666,41953.76348897545,-123031.33333333333,22157.728664182967,-141632.66666666666,3872.4511904247706
60,-192690.33333333334,16016.045503043364,-402167.3333333333,305306.2480770561,-355849.0,258845.1684553271,-141632.66666666666,3872.4511904247706
65,-1047276.3333333334,459724.42798581946,-104837.66666666667,9827.025400507633,-228994.33333333334,75512.3391344458,-141632.66666666666,3872.4511904247706
70,-1092556.3333333333,669532.3855927774,-918438.6666666666,510816.77332570916,-217543.33333333334,40048.0093998302,-141632.66666666666,3872.4511904247706
75,-344283.3333333333,218859.97938763394,-596437.6666666666,378459.97396143345,-130111.66666666667,19940.16118847143,-141632.66666666666,3872.4511904247706
80,-616014.6666666666,456947.89369929506,-172605.33333333334,28681.667284560397,-532922.6666666666,546870.2705891245,-141632.66666666666,3872.4511904247706
85,-290286.0,202717.5125488669,-168948.66666666666,76094.81934329623,-180309.33333333334,24856.939531826698,-141632.66666666666,3872.4511904247706
90,-157955.33333333334,7931.36778171892,-150654.66666666666,52739.60772407099,-225637.0,94726.95162764749,-141632.66666666666,3872.4511904247706
95,-201196.66666666666,50332.321175253666,-129361.0,6906.950171144039,-130102.33333333333,36874.15393229006,-141632.66666666666,3872.4511904247706
100,-342021.0,265033.99186896766,-246395.0,188982.38348057735,-116794.66666666667,15595.360855787283,-141632.66666666666,3872.4511904247706
