Episode,qmix_mean,qmix_std
10,-866958.4,115275.62799933036
20,-911117.2,102276.68907312164
30,-877002.8,96552.72813628832
40,-826161.6,85713.72276736089
50,-753833.4,65532.46128934881
60,-788061.4,28304.34445522454
70,-751334.6,117186.40088610965
80,-791335.8,60640.879820134534
90,-755162.6,124042.57479688173
100,-707731.4,86507.92313447365
110,-708856.2,125079.21714721434
120,-713386.8,91442.54832494554
130,-660976.6,83607.34120542287
140,-584304.4,59506.62719932966
150,-591382.4,150070.13563344307
160,-581978.2,79317.28171186907
170,-556717.8,103162.67499711318
180,-579742.0,125363.73587285918
190,-520958.0,109704.85011702993
200,-548021.6,79983.91762498258
210,-488019.2,65472.0511406203
220,-537799.0,100480.26723690577
230,-484440.0,109633.9349015623
240,-566016.4,74614.157918186
250,-498864.0,107574.36210919403
260,-459768.4,67389.20056388857
270,-447692.4,63766.619818208965
280,-520307.6,84593.06095324841
290,-392345.2,33468.99474080451
300,-437775.6,49085.16282788517
310,-480011.2,89327.86223883342
320,-533002.8,50139.367317109216
330,-455803.0,76162.32560524922
340,-408102.6,55263.06685156009
350,-489201.4,117999.51806782941
360,-424182.6,27106.576077402326
370,-425096.4,35479.65823736187
380,-515774.4,147747.89321895593
390,-524509.2,130170.21041451843
400,-538069.2,35468.3091697363
410,-495671.0,98967.81821582206
420,-371815.0,63713.10533948255
430,-510717.4,67905.54214672024
440,-406429.4,85875.29573189253
450,-400059.2,17071.371396580886
460,-444492.6,132223.98626966288
470,-419092.6,154094.16841996324
480,-426872.6,103379.09998757002
490,-450455.2,108064.33466856676
500,-517038.0,129345.55892337394
