Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Native_Reward_mean,Fixed_Native_Reward_std,Fixed_RoundRobin_Reward_mean,Fixed_RoundRobin_Reward_std
5,-977634.5,76899.5,-891365.5,29553.5,-752890.5,100889.5,-31944.5,581.5,-47529.5,785.5
10,-926481.5,41356.5,-791948.0,963.0,-858057.5,33163.5,-31944.5,581.5,-47529.5,785.5
15,-982382.0,37095.0,-981595.0,15906.0,-828190.5,12927.5,-31944.5,581.5,-47529.5,785.5
20,-788090.0,48793.0,-895259.0,55327.0,-845048.0,6436.0,-31944.5,581.5,-47529.5,785.5
25,-967006.5,32093.5,-918525.0,13331.0,-670747.0,80095.0,-31944.5,581.5,-47529.5,785.5
30,-966034.0,64515.0,-834099.0,24561.0,-761237.0,633.0,-31944.5,581.5,-47529.5,785.5
35,-837377.5,20971.5,-937096.0,67938.0,-779652.0,62719.0,-31944.5,581.5,-47529.5,785.5
40,-882533.5,54753.5,-910037.5,17518.5,-835466.0,18939.0,-31944.5,581.5,-47529.5,785.5
45,-929309.5,89236.5,-852947.5,11305.5,-826465.0,13758.0,-31944.5,581.5,-47529.5,785.5
50,-910170.5,17229.5,-919165.0,102540.0,-810944.5,17918.5,-31944.5,581.5,-47529.5,785.5
55,-804013.5,11892.5,-856447.0,57927.0,-791647.0,48452.0,-31944.5,581.5,-47529.5,785.5
60,-776231.0,29548.0,-865483.0,37371.0,-889313.0,13874.0,-31944.5,581.5,-47529.5,785.5
65,-968678.5,27401.5,-853871.0,34045.0,-854750.0,75017.0,-31944.5,581.5,-47529.5,785.5
70,-837758.0,105369.0,-941495.0,79467.0,-848105.0,41689.0,-31944.5,581.5,-47529.5,785.5
75,-885508.0,33686.0,-876732.5,18169.5,-879190.0,75542.0,-31944.5,581.5,-47529.5,785.5
80,-919113.5,65685.5,-881514.5,55131.5,-847760.5,35755.5,-31944.5,581.5,-47529.5,785.5
85,-920030.0,41726.0,-945790.0,47999.0,-705512.5,36903.5,-31944.5,581.5,-47529.5,785.5
90,-763164.5,78486.5,-892883.5,67579.5,-731385.5,41444.5,-31944.5,581.5,-47529.5,785.5
95,-1050881.0,17936.0,-938813.5,1512.5,-765471.0,30105.0,-31944.5,581.5,-47529.5,785.5
100,-1010640.5,5417.5,-839815.0,102514.0,-764499.0,119440.0,-31944.5,581.5,-47529.5,785.5
