Episode,qmix_mean,qmix_std
10,-1244939.8,1243490.5880603038
20,-1050059.6,853964.9860448847
30,-1146244.6,1126751.2413250052
40,-1018278.4,905546.9629333644
50,-523504.0,596564.4239332413
60,-1257715.0,879490.6302193332
70,-1134229.4,834262.1377501439
80,-866488.2,763344.9316835476
90,-147804.2,107484.71537925753
100,-217047.6,303760.1611209739
110,-52931.0,14713.462257402232
120,-43461.8,4060.6085455261505
130,-185295.8,278562.85327616817
140,-70826.8,41892.64924733216
150,-45720.6,7801.436754854839
160,-41979.0,5081.377018092635
170,-48197.6,6499.119128004964
180,-42313.0,2603.06642251019
190,-46230.8,5024.341604628412
200,-45964.2,6849.796942975755
210,-52018.4,3525.0857918637953
220,-44564.8,4673.445812246035
230,-49656.4,4746.311477347435
240,-43891.8,5542.526874991226
250,-54576.6,13080.746990902317
260,-53487.6,7731.268449614203
270,-55107.2,20152.04310634532
280,-47502.4,10625.230700554224
290,-86830.4,65832.8598576729
300,-53385.2,19532.8894370495
310,-45273.4,5709.931123927853
320,-46348.4,6275.6377715735
330,-44037.0,7116.560854794962
340,-51050.6,9246.921814312047
350,-46744.8,5643.520830120148
360,-51044.0,6791.648194657907
370,-49623.4,9227.182399844494
380,-45320.0,11434.952033130703
390,-45729.4,6935.359387948111
400,-48930.2,5363.899342828871
410,-57615.8,30395.921886990036
420,-45243.2,7869.721047152815
430,-44635.8,6120.049784111237
440,-38440.2,3258.0216942187476
450,-46988.4,9533.184664108841
460,-50024.4,11740.617234200254
470,-44843.2,6738.895500005918
480,-42450.4,7680.013895820762
490,-46026.6,4880.845770970437
500,-40930.0,8581.359053203636
