Epoch,Tabular_IQL_Reward_mean,Tabular_IQL_Reward_std,Hysteretic_Reward_mean,Hysteretic_Reward_std,VDN_Reward_mean,VDN_Reward_std,Fixed_Baseline_Reward_mean,Fixed_Baseline_Reward_std
5,-257910.0,221164.41297068266,-1064080.0,736614.9506804759,-228973.66666666666,225142.16555224737,-141535.0,2067.0221737239945
10,-406931.3333333333,233450.91564799845,-178809.0,82116.63141329329,-329237.3333333333,294209.427858607,-141535.0,2067.0221737239945
15,-208080.0,93536.42871095732,-160842.33333333334,34284.258947154674,-1140297.0,704210.5961244832,-141535.0,2067.0221737239945
20,-252895.33333333334,107342.60392572726,-106905.33333333333,35185.11697042121,-149772.66666666666,36770.73697324485,-141535.0,2067.0221737239945
25,-186680.0,102269.10314459592,-114032.66666666667,8919.337207563252,-197596.0,92065.84459324025,-141535.0,2067.0221737239945
30,-167870.33333333334,34044.848874519754,-148613.33333333334,18017.289332440905,-231937.66666666666,90196.22582397165,-141535.0,2067.0221737239945
35,-395970.0,354925.3664260511,-198963.0,84380.6752165447,-132946.66666666666,7775.132424738644,-141535.0,2067.0221737239945
40,-119737.33333333333,20709.78374799913,-105329.0,28651.485627566795,-682744.6666666666,781641.3215639398,-141535.0,2067.0221737239945
45,-177208.33333333334,70087.00011335118,-288856.3333333333,209274.35004531467,-234354.33333333334,140343.53362691452,-141535.0,2067.0221737239945
50,-330952.0,321418.9504691139,-161384.33333333334,28891.705457141543,-180422.0,36737.61724263928,-141535.0,2067.0221737239945
55,-140711.33333333334,22047.17974909464,-524931.6666666666,599620.448445144,-151805.33333333334,12905.396709215189,-141535.0,2067.0221737239945
60,-732181.6666666666,652460.7786599555,-156697.33333333334,72668.42537780001,-220110.33333333334,108070.76871610052,-141535.0,2067.0221737239945
65,-196744.0,58487.98646445838,-113341.33333333333,30177.30463260244,-1137326.6666666667,672113.0863921306,-141535.0,2067.0221737239945
70,-123516.66666666667,15371.397124385134,-144042.33333333334,31439.576272943345,-150753.33333333334,37353.59864264159,-141535.0,2067.0221737239945
75,-145573.0,32332.180501784904,-798634.6666666666,898448.8945244589,-94472.66666666667,17012.692640757632,-141535.0,2067.0221737239945
80,-192446.33333333334,72673.45758635373,-887503.0,631923.3545491627,-127821.66666666667,14252.242264133583,-141535.0,2067.0221737239945
85,-100868.33333333333,9858.979404019916,-794431.3333333334,921940.6326860506,-220283.33333333334,54113.97217190974,-141535.0,2067.0221737239945
90,-133644.33333333334,41862.33655155377,-715714.3333333334,893261.2064912604,-152094.0,44613.78946768215,-141535.0,2067.0221737239945
95,-193420.33333333334,116993.09943848065,-168731.33333333334,51096.88708283075,-185117.66666666666,79775.13155670061,-141535.0,2067.0221737239945
100,-700620.6666666666,805103.2546161738,-118988.0,18232.489974401924,-177383.33333333334,72618.87417346968,-141535.0,2067.0221737239945
