scenario,episode,eval_reward
baseline,10,-747859.0
baseline,20,-41903.0
baseline,30,-40139.0
baseline,40,-26238.0
baseline,50,-27468.0
baseline,60,-24967.0
baseline,70,-27701.0
baseline,80,-37254.0
baseline,90,-25325.0
baseline,100,-24615.0
baseline,110,-27345.0
baseline,120,-25605.0
baseline,130,-25942.0
baseline,140,-26202.0
baseline,150,-25183.0
baseline,160,-27121.0
baseline,170,-23932.0
baseline,180,-24336.0
baseline,190,-29297.0
baseline,200,-27464.0
baseline,210,-25318.0
baseline,220,-22881.0
baseline,230,-23393.0
baseline,240,-29451.0
baseline,250,-23868.0
baseline,260,-27126.0
baseline,270,-27848.0
baseline,280,-25429.0
baseline,290,-26715.0
baseline,300,-20996.0
baseline,310,-25261.0
baseline,320,-24921.0
baseline,330,-25330.0
baseline,340,-27658.0
baseline,350,-27520.0
baseline,360,-23912.0
baseline,370,-31053.0
baseline,380,-27550.0
baseline,390,-27490.0
baseline,400,-27414.0
baseline,410,-25446.0
baseline,420,-32075.0
baseline,430,-27465.0
baseline,440,-27222.0
baseline,450,-25054.0
baseline,460,-25721.0
baseline,470,-23887.0
baseline,480,-25840.0
baseline,490,-22940.0
baseline,500,-21287.0
