scenario,episode,eval_reward
cologne3,10,-418010.0
cologne3,20,-43205.0
cologne3,30,-125748.0
cologne3,40,-16966.0
cologne3,50,-11113.0
cologne3,60,-12218.0
cologne3,70,-14469.0
cologne3,80,-4910.0
cologne3,90,-7823.0
cologne3,100,-4945.0
cologne3,110,-3694.0
cologne3,120,-5098.0
cologne3,130,-3074.0
cologne3,140,-5917.0
cologne3,150,-55017.0
cologne3,160,-30016.0
cologne3,170,-34397.0
cologne3,180,-21708.0
cologne3,190,-8451.0
cologne3,200,-5236.0
cologne3,210,-21070.0
cologne3,220,-6460.0
cologne3,230,-10838.0
cologne3,240,-3648.0
cologne3,250,-4446.0
cologne3,260,-6694.0
cologne3,270,-7199.0
cologne3,280,-4434.0
cologne3,290,-4692.0
cologne3,300,-5050.0
cologne3,310,-4335.0
cologne3,320,-4995.0
cologne3,330,-4797.0
cologne3,340,-4647.0
cologne3,350,-4812.0
cologne3,360,-5537.0
cologne3,370,-6477.0
cologne3,380,-4904.0
cologne3,390,-5092.0
cologne3,400,-3936.0
cologne3,410,-3782.0
cologne3,420,-4542.0
cologne3,430,-4070.0
cologne3,440,-3728.0
cologne3,450,-3657.0
cologne3,460,-3331.0
cologne3,470,-3074.0
cologne3,480,-4079.0
cologne3,490,-4286.0
cologne3,500,-3792.0
