scenario,episode,eval_reward
cross_surge,10,-3267247.0
cross_surge,20,-384144.0
cross_surge,30,-95038.0
cross_surge,40,-91102.0
cross_surge,50,-86034.0
cross_surge,60,-431143.0
cross_surge,70,-86638.0
cross_surge,80,-94739.0
cross_surge,90,-102464.0
cross_surge,100,-85068.0
cross_surge,110,-95301.0
cross_surge,120,-83006.0
cross_surge,130,-82880.0
cross_surge,140,-89529.0
cross_surge,150,-84818.0
cross_surge,160,-84190.0
cross_surge,170,-1244442.0
cross_surge,180,-1244442.0
cross_surge,190,-87056.0
cross_surge,200,-82785.0
cross_surge,210,-83533.0
cross_surge,220,-87227.0
cross_surge,230,-83026.0
cross_surge,240,-94349.0
cross_surge,250,-85325.0
cross_surge,260,-83672.0
cross_surge,270,-84717.0
cross_surge,280,-81076.0
cross_surge,290,-88467.0
cross_surge,300,-84270.0
cross_surge,310,-85604.0
cross_surge,320,-80832.0
cross_surge,330,-87810.0
cross_surge,340,-82133.0
cross_surge,350,-85831.0
cross_surge,360,-84902.0
cross_surge,370,-85709.0
cross_surge,380,-83238.0
cross_surge,390,-79253.0
cross_surge,400,-82465.0
cross_surge,410,-86695.0
cross_surge,420,-84737.0
cross_surge,430,-98472.0
cross_surge,440,-90164.0
cross_surge,450,-91307.0
cross_surge,460,-86628.0
cross_surge,470,-82120.0
cross_surge,480,-93048.0
cross_surge,490,-79707.0
cross_surge,500,-89046.0
