scenario,episode,eval_reward
dense_wave,10,-807311.0
dense_wave,20,-311226.0
dense_wave,30,-1027562.0
dense_wave,40,-1451616.0
dense_wave,50,-1464259.0
dense_wave,60,-2777883.0
dense_wave,70,-2166238.0
dense_wave,80,-1022812.0
dense_wave,90,-396705.0
dense_wave,100,-646406.0
dense_wave,110,-74937.0
dense_wave,120,-74971.0
dense_wave,130,-48126.0
dense_wave,140,-51473.0
dense_wave,150,-50397.0
dense_wave,160,-47642.0
dense_wave,170,-46636.0
dense_wave,180,-48117.0
dense_wave,190,-44238.0
dense_wave,200,-40653.0
dense_wave,210,-47988.0
dense_wave,220,-44348.0
dense_wave,230,-50756.0
dense_wave,240,-38258.0
dense_wave,250,-68564.0
dense_wave,260,-47802.0
dense_wave,270,-50591.0
dense_wave,280,-44033.0
dense_wave,290,-44541.0
dense_wave,300,-45357.0
dense_wave,310,-46026.0
dense_wave,320,-39900.0
dense_wave,330,-48057.0
dense_wave,340,-49017.0
dense_wave,350,-44977.0
dense_wave,360,-42751.0
dense_wave,370,-42852.0
dense_wave,380,-46188.0
dense_wave,390,-54752.0
dense_wave,400,-52899.0
dense_wave,410,-52315.0
dense_wave,420,-53525.0
dense_wave,430,-58967.0
dense_wave,440,-49563.0
dense_wave,450,-61169.0
dense_wave,460,-46787.0
dense_wave,470,-52139.0
dense_wave,480,-87451.0
dense_wave,490,-50574.0
dense_wave,500,-51996.0
