scenario,episode,eval_reward
grid4x4,10,-656146.0
grid4x4,20,-783405.0
grid4x4,30,-708002.0
grid4x4,40,-744410.0
grid4x4,50,-662251.0
grid4x4,60,-738752.0
grid4x4,70,-708853.0
grid4x4,80,-710752.0
grid4x4,90,-779828.0
grid4x4,100,-675003.0
grid4x4,110,-915561.0
grid4x4,120,-801696.0
grid4x4,130,-569728.0
grid4x4,140,-472371.0
grid4x4,150,-544567.0
grid4x4,160,-648369.0
grid4x4,170,-477131.0
grid4x4,180,-506157.0
grid4x4,190,-379929.0
grid4x4,200,-433975.0
grid4x4,210,-434298.0
grid4x4,220,-452565.0
grid4x4,230,-693020.0
grid4x4,240,-690088.0
grid4x4,250,-542029.0
grid4x4,260,-426620.0
grid4x4,270,-492446.0
grid4x4,280,-352623.0
grid4x4,290,-362746.0
grid4x4,300,-526301.0
grid4x4,310,-543660.0
grid4x4,320,-495616.0
grid4x4,330,-571298.0
grid4x4,340,-437732.0
grid4x4,350,-537682.0
grid4x4,360,-377107.0
grid4x4,370,-468649.0
grid4x4,380,-467735.0
grid4x4,390,-408561.0
grid4x4,400,-517655.0
grid4x4,410,-324350.0
grid4x4,420,-409320.0
grid4x4,430,-560912.0
grid4x4,440,-474857.0
grid4x4,450,-404340.0
grid4x4,460,-489748.0
grid4x4,470,-723271.0
grid4x4,480,-571825.0
grid4x4,490,-608711.0
grid4x4,500,-722014.0
