Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-54191.0,-56684.0,-55553.0,-115861.0
10,-592179.0,-729856.0,-938321.0,-115861.0
15,-57464.0,-103075.0,-52280.0,-115861.0
20,-52849.0,-171176.0,-95026.0,-115861.0
25,-77587.0,-65816.0,-77218.0,-115861.0
30,-164574.0,-146083.0,-72241.0,-115861.0
35,-190323.0,-57815.0,-92870.0,-115861.0
40,-120444.0,-66775.0,-67387.0,-115861.0
45,-71694.0,-95453.0,-62395.0,-115861.0
50,-66803.0,-108334.0,-240649.0,-115861.0
55,-36061.0,-118047.0,-90037.0,-115861.0
60,-431665.0,-92877.0,-136821.0,-115861.0
65,-90122.0,-366909.0,-85371.0,-115861.0
70,-111672.0,-71839.0,-61614.0,-115861.0
75,-76474.0,-144716.0,-75488.0,-115861.0
80,-203828.0,-154170.0,-80152.0,-115861.0
85,-56278.0,-196825.0,-59717.0,-115861.0
90,-162485.0,-120161.0,-123322.0,-115861.0
95,-211969.0,-141155.0,-70925.0,-115861.0
100,-114812.0,-82822.0,-49360.0,-115861.0
