Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
5,-66478.0,-56902.0,-775219.0,-46569.0,-175119.0
10,-119587.0,-607963.0,-117424.0,-46569.0,-175119.0
15,-213848.0,-541441.0,-696044.0,-46569.0,-175119.0
20,-140961.0,-65670.0,-74844.0,-46569.0,-175119.0
25,-131569.0,-54177.0,-49958.0,-46569.0,-175119.0
30,-89949.0,-561112.0,-233141.0,-46569.0,-175119.0
35,-65193.0,-97945.0,-39395.0,-46569.0,-175119.0
40,-308749.0,-198951.0,-147603.0,-46569.0,-175119.0
45,-56884.0,-129993.0,-76344.0,-46569.0,-175119.0
50,-123099.0,-179884.0,-54272.0,-46569.0,-175119.0
55,-397740.0,-234446.0,-352651.0,-46569.0,-175119.0
60,-285477.0,-91732.0,-128922.0,-46569.0,-175119.0
65,-177427.0,-194728.0,-38664.0,-46569.0,-175119.0
70,-106991.0,-116831.0,-78532.0,-46569.0,-175119.0
75,-28336.0,-164620.0,-200299.0,-46569.0,-175119.0
80,-260599.0,-293355.0,-92007.0,-46569.0,-175119.0
85,-27685.0,-613762.0,-23846.0,-46569.0,-175119.0
90,-195785.0,-468947.0,-102915.0,-46569.0,-175119.0
95,-414400.0,-115684.0,-20609.0,-46569.0,-175119.0
100,-120267.0,-111437.0,-901456.0,-46569.0,-175119.0
