Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-1609215.0,-1246401.0,-662005.0,-256634.0
10,-289623.0,-1307927.0,-842883.0,-256634.0
15,-226762.0,-663780.0,-1332271.0,-256634.0
20,-221110.0,-230466.0,-454108.0,-256634.0
25,-236584.0,-601136.0,-375920.0,-256634.0
30,-155441.0,-1406740.0,-213071.0,-256634.0
35,-165315.0,-183469.0,-619299.0,-256634.0
40,-212563.0,-555177.0,-226106.0,-256634.0
45,-158798.0,-231023.0,-159486.0,-256634.0
50,-548472.0,-868457.0,-220252.0,-256634.0
55,-191423.0,-157178.0,-419567.0,-256634.0
60,-205441.0,-273001.0,-1180519.0,-256634.0
65,-212486.0,-176538.0,-1332727.0,-256634.0
70,-202488.0,-281722.0,-344925.0,-256634.0
75,-179735.0,-258058.0,-1404694.0,-256634.0
80,-201891.0,-202128.0,-421635.0,-256634.0
85,-263086.0,-316205.0,-179564.0,-256634.0
90,-201049.0,-1131696.0,-176347.0,-256634.0
95,-215689.0,-209772.0,-1740681.0,-256634.0
100,-195814.0,-192188.0,-189249.0,-256634.0
