Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-136788.0,-824261.0,-78330.0,-139800.0
20,-1350188.0,-96227.0,-1172522.0,-139800.0
30,-209849.0,-118213.0,-210519.0,-139800.0
40,-138848.0,-105251.0,-186073.0,-139800.0
50,-246114.0,-151875.0,-144262.0,-139800.0
60,-1246105.0,-71480.0,-165036.0,-139800.0
70,-263040.0,-104954.0,-153859.0,-139800.0
80,-356885.0,-97854.0,-109555.0,-139800.0
90,-175569.0,-91923.0,-139785.0,-139800.0
100,-274703.0,-176575.0,-124324.0,-139800.0
110,-623659.0,-134203.0,-76377.0,-139800.0
120,-114627.0,-192426.0,-129978.0,-139800.0
130,-156196.0,-76891.0,-568545.0,-139800.0
140,-404372.0,-120078.0,-203163.0,-139800.0
150,-175136.0,-159676.0,-157153.0,-139800.0
160,-892201.0,-125531.0,-587549.0,-139800.0
170,-125261.0,-200641.0,-195716.0,-139800.0
180,-787467.0,-81381.0,-196227.0,-139800.0
190,-256556.0,-155344.0,-139759.0,-139800.0
200,-299626.0,-93029.0,-212959.0,-139800.0
210,-155088.0,-152480.0,-214976.0,-139800.0
220,-156115.0,-172376.0,-190604.0,-139800.0
230,-121536.0,-174666.0,-142038.0,-139800.0
240,-170744.0,-107330.0,-93733.0,-139800.0
250,-117579.0,-145352.0,-1575566.0,-139800.0
260,-196557.0,-130861.0,-153425.0,-139800.0
270,-216673.0,-80206.0,-165670.0,-139800.0
280,-137190.0,-82699.0,-143302.0,-139800.0
290,-114188.0,-167664.0,-144311.0,-139800.0
300,-299806.0,-125426.0,-137096.0,-139800.0
310,-207796.0,-203236.0,-302727.0,-139800.0
320,-202164.0,-1177826.0,-130682.0,-139800.0
330,-181977.0,-160173.0,-127218.0,-139800.0
340,-136732.0,-255159.0,-130511.0,-139800.0
350,-110660.0,-110474.0,-92219.0,-139800.0
360,-134138.0,-130882.0,-124437.0,-139800.0
370,-210989.0,-143967.0,-77002.0,-139800.0
380,-125526.0,-137826.0,-155118.0,-139800.0
390,-113700.0,-218559.0,-95967.0,-139800.0
400,-147172.0,-120491.0,-71575.0,-139800.0
410,-152664.0,-106570.0,-160236.0,-139800.0
420,-95608.0,-107219.0,-80261.0,-139800.0
430,-107469.0,-125262.0,-75213.0,-139800.0
440,-203370.0,-339429.0,-100812.0,-139800.0
450,-140686.0,-91241.0,-81137.0,-139800.0
460,-206275.0,-114718.0,-96160.0,-139800.0
470,-221508.0,-71813.0,-542676.0,-139800.0
480,-176505.0,-253873.0,-63396.0,-139800.0
490,-160967.0,-102159.0,-228496.0,-139800.0
500,-128704.0,-165623.0,-64520.0,-139800.0
