Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-519470.0,-631481.0,-683763.0,-32526.0,-48315.0
20,-565232.0,-436286.0,-665686.0,-32526.0,-48315.0
30,-618508.0,-490447.0,-386116.0,-32526.0,-48315.0
40,-261751.0,-408424.0,-404195.0,-32526.0,-48315.0
50,-700819.0,-512299.0,-305403.0,-32526.0,-48315.0
60,-308334.0,-488832.0,-398247.0,-32526.0,-48315.0
70,-366208.0,-493277.0,-382499.0,-32526.0,-48315.0
80,-430922.0,-529251.0,-392319.0,-32526.0,-48315.0
90,-413666.0,-530101.0,-460348.0,-32526.0,-48315.0
100,-550944.0,-307726.0,-434947.0,-32526.0,-48315.0
110,-483622.0,-599078.0,-366338.0,-32526.0,-48315.0
120,-380588.0,-658424.0,-438059.0,-32526.0,-48315.0
130,-442852.0,-413373.0,-544711.0,-32526.0,-48315.0
140,-389881.0,-339838.0,-463866.0,-32526.0,-48315.0
150,-573475.0,-250518.0,-308940.0,-32526.0,-48315.0
160,-434665.0,-500058.0,-277457.0,-32526.0,-48315.0
170,-490898.0,-435205.0,-315781.0,-32526.0,-48315.0
180,-392911.0,-680456.0,-265301.0,-32526.0,-48315.0
190,-404582.0,-489090.0,-336660.0,-32526.0,-48315.0
200,-514064.0,-414422.0,-303562.0,-32526.0,-48315.0
210,-450141.0,-572942.0,-178777.0,-32526.0,-48315.0
220,-493985.0,-575516.0,-212039.0,-32526.0,-48315.0
230,-586059.0,-355088.0,-369130.0,-32526.0,-48315.0
240,-423824.0,-505144.0,-160496.0,-32526.0,-48315.0
250,-369022.0,-480212.0,-404087.0,-32526.0,-48315.0
260,-504572.0,-530960.0,-269845.0,-32526.0,-48315.0
270,-404135.0,-387618.0,-347495.0,-32526.0,-48315.0
280,-678117.0,-514470.0,-291058.0,-32526.0,-48315.0
290,-377079.0,-633709.0,-265467.0,-32526.0,-48315.0
300,-686239.0,-520412.0,-283523.0,-32526.0,-48315.0
310,-498729.0,-714681.0,-222991.0,-32526.0,-48315.0
320,-369516.0,-571664.0,-287431.0,-32526.0,-48315.0
330,-593391.0,-504768.0,-278364.0,-32526.0,-48315.0
340,-675611.0,-433816.0,-289077.0,-32526.0,-48315.0
350,-485869.0,-409008.0,-170831.0,-32526.0,-48315.0
360,-533018.0,-497314.0,-144862.0,-32526.0,-48315.0
370,-476208.0,-477998.0,-200534.0,-32526.0,-48315.0
380,-579277.0,-509725.0,-133723.0,-32526.0,-48315.0
390,-521887.0,-315535.0,-254865.0,-32526.0,-48315.0
400,-382512.0,-407758.0,-213890.0,-32526.0,-48315.0
410,-666089.0,-358303.0,-174420.0,-32526.0,-48315.0
420,-588624.0,-507222.0,-171975.0,-32526.0,-48315.0
430,-371578.0,-225941.0,-246131.0,-32526.0,-48315.0
440,-427542.0,-310515.0,-178731.0,-32526.0,-48315.0
450,-373841.0,-281791.0,-189809.0,-32526.0,-48315.0
460,-456527.0,-560710.0,-117470.0,-32526.0,-48315.0
470,-583139.0,-493861.0,-212505.0,-32526.0,-48315.0
480,-561372.0,-500888.0,-131782.0,-32526.0,-48315.0
490,-488729.0,-416971.0,-152870.0,-32526.0,-48315.0
500,-494426.0,-560583.0,-206806.0,-32526.0,-48315.0
