Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-570557.0,-1177487.0,-547293.0,-143485.0
10,-544050.0,-191527.0,-117318.0,-143485.0
15,-180502.0,-208587.0,-1555461.0,-143485.0
20,-308403.0,-82731.0,-132155.0,-143485.0
25,-98098.0,-118596.0,-325590.0,-143485.0
30,-149824.0,-140562.0,-233685.0,-143485.0
35,-105053.0,-87808.0,-139036.0,-143485.0
40,-92888.0,-79763.0,-115124.0,-143485.0
45,-148233.0,-215616.0,-148252.0,-143485.0
50,-127957.0,-158262.0,-129706.0,-143485.0
55,-156075.0,-91466.0,-138375.0,-143485.0
60,-171195.0,-85547.0,-362506.0,-143485.0
65,-179168.0,-92903.0,-1729500.0,-143485.0
70,-101794.0,-154878.0,-178940.0,-143485.0
75,-103051.0,-105838.0,-118294.0,-143485.0
80,-294746.0,-949596.0,-115400.0,-143485.0
85,-107325.0,-166944.0,-290339.0,-143485.0
90,-161441.0,-94361.0,-172110.0,-143485.0
95,-143383.0,-149587.0,-291388.0,-143485.0
100,-128846.0,-135884.0,-240756.0,-143485.0
