scenario,episode,eval_reward
baseline,10,-415767.0
baseline,20,-28877.0
baseline,30,-27706.0
baseline,40,-26245.0
baseline,50,-27232.0
baseline,60,-24729.0
baseline,70,-23911.0
baseline,80,-43783.0
baseline,90,-36263.0
baseline,100,-25711.0
baseline,110,-25134.0
baseline,120,-23621.0
baseline,130,-23515.0
baseline,140,-25331.0
baseline,150,-23515.0
baseline,160,-25717.0
baseline,170,-26474.0
baseline,180,-27177.0
baseline,190,-26793.0
baseline,200,-25593.0
baseline,210,-24723.0
baseline,220,-26999.0
baseline,230,-24809.0
baseline,240,-28582.0
baseline,250,-28142.0
baseline,260,-27430.0
baseline,270,-26006.0
baseline,280,-27051.0
baseline,290,-25853.0
baseline,300,-24287.0
baseline,310,-23153.0
baseline,320,-23456.0
baseline,330,-23574.0
baseline,340,-24950.0
baseline,350,-22937.0
baseline,360,-24077.0
baseline,370,-23043.0
baseline,380,-21069.0
baseline,390,-23632.0
baseline,400,-24936.0
baseline,410,-22952.0
baseline,420,-22921.0
baseline,430,-25772.0
baseline,440,-25104.0
baseline,450,-26240.0
baseline,460,-25096.0
baseline,470,-25389.0
baseline,480,-25580.0
baseline,490,-23045.0
baseline,500,-23617.0
