scenario,episode,eval_reward
cologne3,10,-418010.0
cologne3,20,-42472.0
cologne3,30,-14457.0
cologne3,40,-15132.0
cologne3,50,-25089.0
cologne3,60,-36083.0
cologne3,70,-5352.0
cologne3,80,-5567.0
cologne3,90,-4432.0
cologne3,100,-4078.0
cologne3,110,-3954.0
cologne3,120,-3555.0
cologne3,130,-3690.0
cologne3,140,-4777.0
cologne3,150,-15244.0
cologne3,160,-293242.0
cologne3,170,-8957.0
cologne3,180,-89027.0
cologne3,190,-15221.0
cologne3,200,-20142.0
cologne3,210,-6953.0
cologne3,220,-4058.0
cologne3,230,-3443.0
cologne3,240,-4702.0
cologne3,250,-3724.0
cologne3,260,-3449.0
cologne3,270,-2798.0
cologne3,280,-6534.0
cologne3,290,-373519.0
cologne3,300,-8327.0
cologne3,310,-5150.0
cologne3,320,-4715.0
cologne3,330,-4053.0
cologne3,340,-3244.0
cologne3,350,-4325.0
cologne3,360,-4105.0
cologne3,370,-3750.0
cologne3,380,-6205.0
cologne3,390,-3149.0
cologne3,400,-2940.0
cologne3,410,-2940.0
cologne3,420,-3774.0
cologne3,430,-3610.0
cologne3,440,-4893.0
cologne3,450,-4423.0
cologne3,460,-3580.0
cologne3,470,-5222.0
cologne3,480,-7927.0
cologne3,490,-5137.0
cologne3,500,-4804.0
