scenario,episode,eval_reward
cross_surge,10,-1420581.0
cross_surge,20,-1869940.0
cross_surge,30,-364540.0
cross_surge,40,-1372143.0
cross_surge,50,-1459546.0
cross_surge,60,-146397.0
cross_surge,70,-373304.0
cross_surge,80,-104073.0
cross_surge,90,-621730.0
cross_surge,100,-87442.0
cross_surge,110,-82260.0
cross_surge,120,-97961.0
cross_surge,130,-85275.0
cross_surge,140,-87433.0
cross_surge,150,-90267.0
cross_surge,160,-1247610.0
cross_surge,170,-1247610.0
cross_surge,180,-1247610.0
cross_surge,190,-92732.0
cross_surge,200,-97059.0
cross_surge,210,-96516.0
cross_surge,220,-104222.0
cross_surge,230,-96368.0
cross_surge,240,-93502.0
cross_surge,250,-90162.0
cross_surge,260,-85017.0
cross_surge,270,-91321.0
cross_surge,280,-79416.0
cross_surge,290,-88648.0
cross_surge,300,-80608.0
cross_surge,310,-85053.0
cross_surge,320,-74249.0
cross_surge,330,-81176.0
cross_surge,340,-80569.0
cross_surge,350,-87625.0
cross_surge,360,-88123.0
cross_surge,370,-84128.0
cross_surge,380,-86974.0
cross_surge,390,-85702.0
cross_surge,400,-85403.0
cross_surge,410,-84695.0
cross_surge,420,-80980.0
cross_surge,430,-82001.0
cross_surge,440,-78496.0
cross_surge,450,-79978.0
cross_surge,460,-84108.0
cross_surge,470,-80754.0
cross_surge,480,-88993.0
cross_surge,490,-92171.0
cross_surge,500,-1247610.0
