scenario,episode,eval_reward
dense_wave,10,-798463.0
dense_wave,20,-2810277.0
dense_wave,30,-2698402.0
dense_wave,40,-2810277.0
dense_wave,50,-1578424.0
dense_wave,60,-1931120.0
dense_wave,70,-201363.0
dense_wave,80,-203773.0
dense_wave,90,-226693.0
dense_wave,100,-108611.0
dense_wave,110,-64268.0
dense_wave,120,-498473.0
dense_wave,130,-91093.0
dense_wave,140,-51915.0
dense_wave,150,-68486.0
dense_wave,160,-52723.0
dense_wave,170,-53082.0
dense_wave,180,-51144.0
dense_wave,190,-42161.0
dense_wave,200,-49749.0
dense_wave,210,-74378.0
dense_wave,220,-59081.0
dense_wave,230,-45113.0
dense_wave,240,-42075.0
dense_wave,250,-56342.0
dense_wave,260,-66374.0
dense_wave,270,-55917.0
dense_wave,280,-47583.0
dense_wave,290,-52502.0
dense_wave,300,-36493.0
dense_wave,310,-45274.0
dense_wave,320,-45619.0
dense_wave,330,-41203.0
dense_wave,340,-46459.0
dense_wave,350,-50737.0
dense_wave,360,-45749.0
dense_wave,370,-32780.0
dense_wave,380,-40385.0
dense_wave,390,-47170.0
dense_wave,400,-41502.0
dense_wave,410,-39376.0
dense_wave,420,-34125.0
dense_wave,430,-44070.0
dense_wave,440,-42476.0
dense_wave,450,-35909.0
dense_wave,460,-37956.0
dense_wave,470,-44139.0
dense_wave,480,-51096.0
dense_wave,490,-47888.0
dense_wave,500,-35882.0
