scenario,episode,eval_reward
grid4x4,10,-827026.0
grid4x4,20,-948198.0
grid4x4,30,-853012.0
grid4x4,40,-770122.0
grid4x4,50,-799069.0
grid4x4,60,-872323.0
grid4x4,70,-869037.0
grid4x4,80,-902491.0
grid4x4,90,-810645.0
grid4x4,100,-770058.0
grid4x4,110,-625472.0
grid4x4,120,-568317.0
grid4x4,130,-572312.0
grid4x4,140,-543493.0
grid4x4,150,-518896.0
grid4x4,160,-534509.0
grid4x4,170,-377792.0
grid4x4,180,-623382.0
grid4x4,190,-459935.0
grid4x4,200,-536866.0
grid4x4,210,-462098.0
grid4x4,220,-445237.0
grid4x4,230,-435385.0
grid4x4,240,-465697.0
grid4x4,250,-403774.0
grid4x4,260,-417307.0
grid4x4,270,-501663.0
grid4x4,280,-510969.0
grid4x4,290,-362900.0
grid4x4,300,-395241.0
grid4x4,310,-440045.0
grid4x4,320,-481302.0
grid4x4,330,-467306.0
grid4x4,340,-585813.0
grid4x4,350,-450022.0
grid4x4,360,-575292.0
grid4x4,370,-563259.0
grid4x4,380,-448750.0
grid4x4,390,-299344.0
grid4x4,400,-434583.0
grid4x4,410,-325699.0
grid4x4,420,-582296.0
grid4x4,430,-448668.0
grid4x4,440,-357272.0
grid4x4,450,-307577.0
grid4x4,460,-494359.0
grid4x4,470,-465746.0
grid4x4,480,-386093.0
grid4x4,490,-362974.0
grid4x4,500,-361963.0
