scenario,episode,eval_reward
split_rush,10,-1313125.0
split_rush,20,-77409.0
split_rush,30,-140397.0
split_rush,40,-408550.0
split_rush,50,-1466875.0
split_rush,60,-106833.0
split_rush,70,-103613.0
split_rush,80,-68502.0
split_rush,90,-67490.0
split_rush,100,-118841.0
split_rush,110,-81221.0
split_rush,120,-45425.0
split_rush,130,-42145.0
split_rush,140,-37685.0
split_rush,150,-44362.0
split_rush,160,-47313.0
split_rush,170,-48970.0
split_rush,180,-47145.0
split_rush,190,-43896.0
split_rush,200,-47942.0
split_rush,210,-41843.0
split_rush,220,-52872.0
split_rush,230,-68141.0
split_rush,240,-49924.0
split_rush,250,-47415.0
split_rush,260,-70274.0
split_rush,270,-55342.0
split_rush,280,-47007.0
split_rush,290,-37123.0
split_rush,300,-46103.0
split_rush,310,-45291.0
split_rush,320,-62175.0
split_rush,330,-41936.0
split_rush,340,-38408.0
split_rush,350,-36443.0
split_rush,360,-41547.0
split_rush,370,-44423.0
split_rush,380,-44686.0
split_rush,390,-46647.0
split_rush,400,-48267.0
split_rush,410,-51082.0
split_rush,420,-50059.0
split_rush,430,-45352.0
split_rush,440,-42807.0
split_rush,450,-40519.0
split_rush,460,-76215.0
split_rush,470,-49299.0
split_rush,480,-42992.0
split_rush,490,-44834.0
split_rush,500,-48558.0
