Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-112195.0,-36086.0,-90416.0,-115861.0
20,-35422.0,-189807.0,-102508.0,-115861.0
30,-49050.0,-111230.0,-140605.0,-115861.0
40,-48348.0,-47288.0,-96417.0,-115861.0
50,-62225.0,-123136.0,-136549.0,-115861.0
60,-72725.0,-60786.0,-79869.0,-115861.0
70,-59186.0,-1461387.0,-107209.0,-115861.0
80,-67668.0,-58503.0,-108410.0,-115861.0
90,-161406.0,-115587.0,-138913.0,-115861.0
100,-77972.0,-60313.0,-310361.0,-115861.0
110,-71643.0,-49968.0,-113041.0,-115861.0
120,-111460.0,-83709.0,-74328.0,-115861.0
130,-143162.0,-75445.0,-129003.0,-115861.0
140,-128757.0,-96920.0,-91647.0,-115861.0
150,-210686.0,-76538.0,-144732.0,-115861.0
160,-107634.0,-71885.0,-145202.0,-115861.0
170,-802706.0,-71281.0,-383825.0,-115861.0
180,-88939.0,-54223.0,-162262.0,-115861.0
190,-93377.0,-57552.0,-124279.0,-115861.0
200,-108624.0,-87907.0,-127850.0,-115861.0
210,-42897.0,-84429.0,-100506.0,-115861.0
220,-119173.0,-96065.0,-144930.0,-115861.0
230,-346453.0,-126475.0,-264798.0,-115861.0
240,-190801.0,-67459.0,-100403.0,-115861.0
250,-304755.0,-130096.0,-172157.0,-115861.0
260,-111398.0,-109014.0,-115836.0,-115861.0
270,-87899.0,-59322.0,-100698.0,-115861.0
280,-98590.0,-93110.0,-77839.0,-115861.0
290,-162210.0,-53096.0,-251100.0,-115861.0
300,-80832.0,-75953.0,-89837.0,-115861.0
310,-41487.0,-65068.0,-148394.0,-115861.0
320,-164630.0,-85760.0,-49077.0,-115861.0
330,-61842.0,-66438.0,-129706.0,-115861.0
340,-128467.0,-85280.0,-140629.0,-115861.0
350,-110278.0,-100279.0,-36089.0,-115861.0
360,-97594.0,-47073.0,-99699.0,-115861.0
370,-110010.0,-38528.0,-214641.0,-115861.0
380,-72982.0,-81824.0,-65604.0,-115861.0
390,-73957.0,-48650.0,-61359.0,-115861.0
400,-124836.0,-101757.0,-297086.0,-115861.0
410,-162680.0,-57637.0,-479136.0,-115861.0
420,-67494.0,-37425.0,-68067.0,-115861.0
430,-63851.0,-135573.0,-190146.0,-115861.0
440,-121816.0,-349837.0,-144319.0,-115861.0
450,-261320.0,-77212.0,-86394.0,-115861.0
460,-148374.0,-130166.0,-34950.0,-115861.0
470,-120609.0,-56990.0,-40134.0,-115861.0
480,-111868.0,-139531.0,-137338.0,-115861.0
490,-142448.0,-98540.0,-77820.0,-115861.0
500,-188913.0,-68545.0,-56668.0,-115861.0
