Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-192502.0,-86001.0,-166362.0,-40549.0,-173381.0
20,-160842.0,-240182.0,-184378.0,-40549.0,-173381.0
30,-61075.0,-139375.0,-25740.0,-40549.0,-173381.0
40,-70744.0,-42883.0,-47427.0,-40549.0,-173381.0
50,-50619.0,-170499.0,-53956.0,-40549.0,-173381.0
60,-39365.0,-136717.0,-17616.0,-40549.0,-173381.0
70,-22542.0,-91420.0,-8697.0,-40549.0,-173381.0
80,-18291.0,-152659.0,-131014.0,-40549.0,-173381.0
90,-24117.0,-144437.0,-82136.0,-40549.0,-173381.0
100,-183018.0,-128570.0,-7443.0,-40549.0,-173381.0
110,-36400.0,-62556.0,-21424.0,-40549.0,-173381.0
120,-27577.0,-409405.0,-68490.0,-40549.0,-173381.0
130,-161430.0,-518031.0,-41828.0,-40549.0,-173381.0
140,-185877.0,-160839.0,-10973.0,-40549.0,-173381.0
150,-76217.0,-43056.0,-27962.0,-40549.0,-173381.0
160,-31454.0,-169402.0,-14680.0,-40549.0,-173381.0
170,-15188.0,-276022.0,-13281.0,-40549.0,-173381.0
180,-70562.0,-168166.0,-10388.0,-40549.0,-173381.0
190,-174660.0,-29402.0,-7251.0,-40549.0,-173381.0
200,-12748.0,-244171.0,-14776.0,-40549.0,-173381.0
210,-35911.0,-299291.0,-7491.0,-40549.0,-173381.0
220,-24704.0,-416203.0,-4564.0,-40549.0,-173381.0
230,-36733.0,-393146.0,-5759.0,-40549.0,-173381.0
240,-32543.0,-183288.0,-10406.0,-40549.0,-173381.0
250,-29524.0,-566210.0,-5667.0,-40549.0,-173381.0
260,-21851.0,-312625.0,-4967.0,-40549.0,-173381.0
270,-28915.0,-1439375.0,-4897.0,-40549.0,-173381.0
280,-48913.0,-509427.0,-5967.0,-40549.0,-173381.0
290,-20130.0,-443210.0,-5401.0,-40549.0,-173381.0
300,-71140.0,-126511.0,-5471.0,-40549.0,-173381.0
310,-106861.0,-112326.0,-4367.0,-40549.0,-173381.0
320,-48572.0,-98926.0,-5442.0,-40549.0,-173381.0
330,-75136.0,-174647.0,-4348.0,-40549.0,-173381.0
340,-40410.0,-534165.0,-4009.0,-40549.0,-173381.0
350,-219494.0,-1303072.0,-5021.0,-40549.0,-173381.0
360,-97249.0,-74148.0,-6081.0,-40549.0,-173381.0
370,-39739.0,-147987.0,-4467.0,-40549.0,-173381.0
380,-11811.0,-276880.0,-4542.0,-40549.0,-173381.0
390,-9416.0,-268256.0,-5484.0,-40549.0,-173381.0
400,-7819.0,-41531.0,-24548.0,-40549.0,-173381.0
410,-8682.0,-119587.0,-4992.0,-40549.0,-173381.0
420,-8306.0,-394264.0,-4675.0,-40549.0,-173381.0
430,-7059.0,-98958.0,-4731.0,-40549.0,-173381.0
440,-10086.0,-229139.0,-4479.0,-40549.0,-173381.0
450,-8199.0,-96908.0,-5131.0,-40549.0,-173381.0
460,-9255.0,-10035.0,-4797.0,-40549.0,-173381.0
470,-9583.0,-472944.0,-4757.0,-40549.0,-173381.0
480,-9854.0,-12722.0,-7439.0,-40549.0,-173381.0
490,-8662.0,-9227.0,-4203.0,-40549.0,-173381.0
500,-7487.0,-5674.0,-5648.0,-40549.0,-173381.0
