Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-1477112.0,-260265.0,-1192163.0,-256634.0
20,-453168.0,-182381.0,-823763.0,-256634.0
30,-180229.0,-152935.0,-149202.0,-256634.0
40,-675093.0,-201907.0,-424996.0,-256634.0
50,-184325.0,-134759.0,-144731.0,-256634.0
60,-176364.0,-1755896.0,-222527.0,-256634.0
70,-178610.0,-182468.0,-591538.0,-256634.0
80,-702279.0,-134306.0,-913137.0,-256634.0
90,-816584.0,-160868.0,-361489.0,-256634.0
100,-169277.0,-256573.0,-217467.0,-256634.0
110,-174653.0,-189964.0,-1215496.0,-256634.0
120,-1303873.0,-174340.0,-245779.0,-256634.0
130,-149310.0,-312927.0,-181258.0,-256634.0
140,-239170.0,-249858.0,-932210.0,-256634.0
150,-537823.0,-203688.0,-966694.0,-256634.0
160,-1196366.0,-427597.0,-511764.0,-256634.0
170,-304779.0,-239817.0,-737969.0,-256634.0
180,-564912.0,-179429.0,-1156679.0,-256634.0
190,-666549.0,-263450.0,-687320.0,-256634.0
200,-977728.0,-232311.0,-441583.0,-256634.0
210,-449482.0,-204219.0,-440826.0,-256634.0
220,-268595.0,-368735.0,-201086.0,-256634.0
230,-521307.0,-207796.0,-800976.0,-256634.0
240,-136080.0,-182458.0,-220821.0,-256634.0
250,-162217.0,-211491.0,-201160.0,-256634.0
260,-220333.0,-186303.0,-210601.0,-256634.0
270,-167981.0,-191285.0,-1082854.0,-256634.0
280,-1271399.0,-181720.0,-193200.0,-256634.0
290,-1006149.0,-201213.0,-198339.0,-256634.0
300,-165436.0,-137523.0,-354974.0,-256634.0
310,-241587.0,-210485.0,-250707.0,-256634.0
320,-1442942.0,-203038.0,-1502722.0,-256634.0
330,-172815.0,-560707.0,-171253.0,-256634.0
340,-170571.0,-169313.0,-205601.0,-256634.0
350,-231792.0,-259770.0,-158305.0,-256634.0
360,-224892.0,-165266.0,-212928.0,-256634.0
370,-291003.0,-679016.0,-311063.0,-256634.0
380,-601678.0,-153371.0,-154941.0,-256634.0
390,-229179.0,-113311.0,-145024.0,-256634.0
400,-163574.0,-212835.0,-141114.0,-256634.0
410,-156970.0,-167475.0,-139080.0,-256634.0
420,-188921.0,-156479.0,-244109.0,-256634.0
430,-188777.0,-231872.0,-311724.0,-256634.0
440,-406065.0,-231122.0,-184832.0,-256634.0
450,-157018.0,-1541098.0,-166406.0,-256634.0
460,-192925.0,-1209264.0,-169728.0,-256634.0
470,-203852.0,-136292.0,-155396.0,-256634.0
480,-255131.0,-611540.0,-308665.0,-256634.0
490,-181920.0,-138157.0,-175283.0,-256634.0
500,-177083.0,-126571.0,-144698.0,-256634.0
