Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-120425.0,-1186892.0,-172638.0,-145808.0
20,-224449.0,-867123.0,-92437.0,-145808.0
30,-153054.0,-72188.0,-208653.0,-145808.0
40,-138322.0,-565365.0,-387029.0,-145808.0
50,-170174.0,-150851.0,-365633.0,-145808.0
60,-200542.0,-94375.0,-140191.0,-145808.0
70,-201507.0,-91386.0,-1841974.0,-145808.0
80,-220409.0,-110041.0,-204734.0,-145808.0
90,-138960.0,-176992.0,-334474.0,-145808.0
100,-160653.0,-95738.0,-1926084.0,-145808.0
110,-267581.0,-264756.0,-892866.0,-145808.0
120,-162764.0,-832594.0,-358170.0,-145808.0
130,-110845.0,-1050172.0,-100359.0,-145808.0
140,-169946.0,-398319.0,-172319.0,-145808.0
150,-133076.0,-98480.0,-675005.0,-145808.0
160,-170411.0,-120779.0,-175297.0,-145808.0
170,-354852.0,-155793.0,-126024.0,-145808.0
180,-294189.0,-71988.0,-479454.0,-145808.0
190,-314874.0,-271794.0,-169247.0,-145808.0
200,-201206.0,-128761.0,-112294.0,-145808.0
210,-591180.0,-736334.0,-1404678.0,-145808.0
220,-1076660.0,-120935.0,-205456.0,-145808.0
230,-121897.0,-243176.0,-124145.0,-145808.0
240,-239472.0,-184719.0,-136771.0,-145808.0
250,-438087.0,-88319.0,-297667.0,-145808.0
260,-241468.0,-168015.0,-186035.0,-145808.0
270,-474313.0,-75878.0,-163812.0,-145808.0
280,-1131826.0,-112803.0,-97331.0,-145808.0
290,-138301.0,-220229.0,-197885.0,-145808.0
300,-183329.0,-108579.0,-117203.0,-145808.0
310,-1279533.0,-81848.0,-114234.0,-145808.0
320,-129654.0,-273022.0,-238317.0,-145808.0
330,-347742.0,-213742.0,-93524.0,-145808.0
340,-788626.0,-91429.0,-154244.0,-145808.0
350,-286011.0,-93797.0,-78878.0,-145808.0
360,-437561.0,-112195.0,-775521.0,-145808.0
370,-658242.0,-125042.0,-85681.0,-145808.0
380,-213764.0,-125139.0,-80587.0,-145808.0
390,-297727.0,-124371.0,-132687.0,-145808.0
400,-128155.0,-93269.0,-101949.0,-145808.0
410,-280091.0,-203515.0,-89336.0,-145808.0
420,-290763.0,-186999.0,-114830.0,-145808.0
430,-359390.0,-93263.0,-93589.0,-145808.0
440,-291641.0,-120806.0,-91971.0,-145808.0
450,-110094.0,-84995.0,-56335.0,-145808.0
460,-137411.0,-194132.0,-142392.0,-145808.0
470,-83750.0,-156183.0,-63286.0,-145808.0
480,-164307.0,-130578.0,-107158.0,-145808.0
490,-280314.0,-278318.0,-166054.0,-145808.0
500,-145581.0,-189397.0,-87543.0,-145808.0
