Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Native_Reward,Fixed_RoundRobin_Reward
10,-396068.0,-335426.0,-662840.0,-31363.0,-46744.0
20,-447924.0,-378498.0,-623956.0,-31363.0,-46744.0
30,-356749.0,-761105.0,-360791.0,-31363.0,-46744.0
40,-601750.0,-464538.0,-395014.0,-31363.0,-46744.0
50,-512220.0,-554517.0,-262068.0,-31363.0,-46744.0
60,-514790.0,-408657.0,-343924.0,-31363.0,-46744.0
70,-366745.0,-532440.0,-281889.0,-31363.0,-46744.0
80,-476714.0,-545175.0,-330244.0,-31363.0,-46744.0
90,-343159.0,-564932.0,-290450.0,-31363.0,-46744.0
100,-399864.0,-513957.0,-205534.0,-31363.0,-46744.0
110,-420538.0,-460124.0,-450479.0,-31363.0,-46744.0
120,-421392.0,-408464.0,-263966.0,-31363.0,-46744.0
130,-602549.0,-422824.0,-243241.0,-31363.0,-46744.0
140,-332263.0,-374314.0,-144481.0,-31363.0,-46744.0
150,-577392.0,-532845.0,-148681.0,-31363.0,-46744.0
160,-506235.0,-304262.0,-113192.0,-31363.0,-46744.0
170,-405277.0,-626923.0,-158218.0,-31363.0,-46744.0
180,-496790.0,-537457.0,-274225.0,-31363.0,-46744.0
190,-621214.0,-530949.0,-382657.0,-31363.0,-46744.0
200,-517188.0,-346214.0,-353292.0,-31363.0,-46744.0
210,-547813.0,-423580.0,-239439.0,-31363.0,-46744.0
220,-369137.0,-504283.0,-279669.0,-31363.0,-46744.0
230,-381291.0,-586858.0,-228002.0,-31363.0,-46744.0
240,-442961.0,-455361.0,-167632.0,-31363.0,-46744.0
250,-407336.0,-418852.0,-139212.0,-31363.0,-46744.0
260,-341079.0,-683316.0,-193940.0,-31363.0,-46744.0
270,-355744.0,-632162.0,-201137.0,-31363.0,-46744.0
280,-521529.0,-458952.0,-177648.0,-31363.0,-46744.0
290,-302838.0,-411575.0,-166430.0,-31363.0,-46744.0
300,-259695.0,-466777.0,-125943.0,-31363.0,-46744.0
310,-526426.0,-514029.0,-140533.0,-31363.0,-46744.0
320,-407149.0,-553272.0,-155389.0,-31363.0,-46744.0
330,-460880.0,-479818.0,-173101.0,-31363.0,-46744.0
340,-602075.0,-465647.0,-95900.0,-31363.0,-46744.0
350,-314698.0,-488881.0,-129748.0,-31363.0,-46744.0
360,-560669.0,-470035.0,-248833.0,-31363.0,-46744.0
370,-625606.0,-237194.0,-139562.0,-31363.0,-46744.0
380,-535239.0,-423471.0,-256956.0,-31363.0,-46744.0
390,-377725.0,-471334.0,-162993.0,-31363.0,-46744.0
400,-519430.0,-445828.0,-148665.0,-31363.0,-46744.0
410,-595445.0,-396332.0,-138708.0,-31363.0,-46744.0
420,-430241.0,-500368.0,-140401.0,-31363.0,-46744.0
430,-420176.0,-350035.0,-126708.0,-31363.0,-46744.0
440,-375339.0,-588016.0,-87141.0,-31363.0,-46744.0
450,-525719.0,-592356.0,-173346.0,-31363.0,-46744.0
460,-681035.0,-299989.0,-137471.0,-31363.0,-46744.0
470,-356514.0,-415112.0,-133022.0,-31363.0,-46744.0
480,-344257.0,-625987.0,-146427.0,-31363.0,-46744.0
490,-469049.0,-570880.0,-59142.0,-31363.0,-46744.0
500,-431478.0,-363441.0,-151087.0,-31363.0,-46744.0
