Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
10,-140624.0,-147594.0,-280233.0,-143485.0
20,-305635.0,-163744.0,-150336.0,-143485.0
30,-146601.0,-117599.0,-208282.0,-143485.0
40,-89900.0,-83964.0,-137099.0,-143485.0
50,-74746.0,-148847.0,-209252.0,-143485.0
60,-210235.0,-104067.0,-193283.0,-143485.0
70,-88189.0,-124286.0,-971277.0,-143485.0
80,-188803.0,-241664.0,-151696.0,-143485.0
90,-344190.0,-432255.0,-109744.0,-143485.0
100,-1757696.0,-463195.0,-149283.0,-143485.0
110,-993009.0,-172556.0,-195958.0,-143485.0
120,-347160.0,-132781.0,-107724.0,-143485.0
130,-1774149.0,-127710.0,-488817.0,-143485.0
140,-307059.0,-708813.0,-142973.0,-143485.0
150,-185402.0,-190480.0,-171593.0,-143485.0
160,-536356.0,-133148.0,-959031.0,-143485.0
170,-2396125.0,-1605798.0,-275205.0,-143485.0
180,-186606.0,-431284.0,-200217.0,-143485.0
190,-116693.0,-119040.0,-379084.0,-143485.0
200,-165448.0,-85352.0,-105573.0,-143485.0
210,-1142389.0,-180242.0,-109559.0,-143485.0
220,-251728.0,-96516.0,-145270.0,-143485.0
230,-588746.0,-150302.0,-103389.0,-143485.0
240,-1681927.0,-200335.0,-154300.0,-143485.0
250,-175583.0,-1339433.0,-176148.0,-143485.0
260,-1276421.0,-1134846.0,-1417240.0,-143485.0
270,-289163.0,-107090.0,-149607.0,-143485.0
280,-213722.0,-105894.0,-206482.0,-143485.0
290,-229105.0,-165048.0,-161652.0,-143485.0
300,-204339.0,-402627.0,-252226.0,-143485.0
310,-347152.0,-1193926.0,-86825.0,-143485.0
320,-389734.0,-146573.0,-87463.0,-143485.0
330,-249860.0,-1691929.0,-109351.0,-143485.0
340,-161127.0,-247398.0,-149505.0,-143485.0
350,-1326984.0,-137702.0,-651525.0,-143485.0
360,-351892.0,-78823.0,-114649.0,-143485.0
370,-241173.0,-96485.0,-55800.0,-143485.0
380,-99419.0,-108325.0,-52423.0,-143485.0
390,-406010.0,-120082.0,-112309.0,-143485.0
400,-152282.0,-100707.0,-393777.0,-143485.0
410,-180108.0,-125302.0,-63963.0,-143485.0
420,-157312.0,-189569.0,-62041.0,-143485.0
430,-334941.0,-395990.0,-63501.0,-143485.0
440,-254751.0,-123830.0,-118909.0,-143485.0
450,-544288.0,-117437.0,-76193.0,-143485.0
460,-269120.0,-132015.0,-140342.0,-143485.0
470,-110803.0,-57885.0,-95685.0,-143485.0
480,-366420.0,-72053.0,-61571.0,-143485.0
490,-651397.0,-81732.0,-82805.0,-143485.0
500,-940044.0,-120587.0,-119848.0,-143485.0
