Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-1151351.0,-1152481.0,-1162719.0,-1157019.0
10,-1156395.0,-1147051.0,-1154237.0,-1157019.0
15,-1211962.0,-1144116.0,-1205987.0,-1157019.0
20,-1205553.0,-1153696.0,-1190224.0,-1157019.0
25,-1160874.0,-1148679.0,-1160770.0,-1157019.0
30,-1156968.0,-1147407.0,-1187679.0,-1157019.0
35,-1181119.0,-1147907.0,-1240268.0,-1157019.0
40,-1171484.0,-1147583.0,-1208432.0,-1157019.0
45,-1174328.0,-1158732.0,-1186131.0,-1157019.0
50,-1201747.0,-1152380.0,-1194277.0,-1157019.0
55,-1201828.0,-1160254.0,-1297709.0,-1157019.0
60,-1199442.0,-1174059.0,-1688922.0,-1157019.0
65,-1155553.0,-1159590.0,-1236684.0,-1157019.0
70,-1147682.0,-1149500.0,-1222860.0,-1157019.0
75,-1186810.0,-1144613.0,-1242127.0,-1157019.0
80,-1195421.0,-1160768.0,-1284370.0,-1157019.0
85,-1160850.0,-1166621.0,-1224115.0,-1157019.0
90,-1208580.0,-1159741.0,-1209472.0,-1157019.0
95,-1182191.0,-1149789.0,-1373238.0,-1157019.0
100,-1186190.0,-1154180.0,-1224067.0,-1157019.0
