Epoch,Tabular_IQL_Reward,Hysteretic_Reward,VDN_Reward,Fixed_Baseline_Reward
5,-927360.0,-946910.0,-960257.0,-919449.0
10,-950266.0,-977660.0,-944226.0,-919449.0
15,-928569.0,-975561.0,-974587.0,-919449.0
20,-962168.0,-942889.0,-986298.0,-919449.0
25,-950267.0,-921315.0,-957330.0,-919449.0
30,-962332.0,-954466.0,-972377.0,-919449.0
35,-941912.0,-949871.0,-971286.0,-919449.0
40,-966553.0,-945399.0,-944458.0,-919449.0
45,-960741.0,-946585.0,-953719.0,-919449.0
50,-960801.0,-976723.0,-939101.0,-919449.0
55,-961940.0,-935644.0,-970882.0,-919449.0
60,-961797.0,-963838.0,-961156.0,-919449.0
65,-956532.0,-955418.0,-969815.0,-919449.0
70,-1011068.0,-980749.0,-946603.0,-919449.0
75,-966884.0,-945819.0,-970386.0,-919449.0
80,-946608.0,-971740.0,-987293.0,-919449.0
85,-980123.0,-984615.0,-962526.0,-919449.0
90,-995766.0,-963530.0,-957205.0,-919449.0
95,-932972.0,-977494.0,-971961.0,-919449.0
100,-1013757.0,-952222.0,-950349.0,-919449.0
