Epoch,Tabular_IQL_Reward,Hysteretic_Reward,Fixed_Baseline_Reward
5,-220935.0,-512944.0,-111698.0
10,-204823.0,-1125423.0,-111698.0
15,-77614.0,-1056283.0,-111698.0
20,-48989.0,-94521.0,-111698.0
25,-43357.0,-59290.0,-111698.0
30,-467245.0,-246688.0,-111698.0
35,-310777.0,-62147.0,-111698.0
40,-76799.0,-132195.0,-111698.0
45,-57988.0,-38745.0,-111698.0
50,-148136.0,-465191.0,-111698.0
55,-59301.0,-95209.0,-111698.0
60,-94534.0,-48968.0,-111698.0
65,-57566.0,-574879.0,-111698.0
70,-139485.0,-116672.0,-111698.0
75,-140951.0,-112597.0,-111698.0
80,-125874.0,-80233.0,-111698.0
85,-99213.0,-187794.0,-111698.0
90,-51685.0,-182052.0,-111698.0
95,-71639.0,-82215.0,-111698.0
100,-111649.0,-77375.0,-111698.0
